"Region Code","Timestamp (Hour Ending)","Demand (MWh)","Demand Forecast (MWh)","Net Generation (MWh)","Total Interchange (MWh)"
US48,"4/18/2024 12 a.m. EDT",428383.16,422856.3,428212.16,2545
US48,"4/18/2024 1 a.m. EDT",407992.27,398790.2,407293.27,1953
US48,"4/18/2024 2 a.m. EDT",390665.37,381172.6,392086.37,2632
US48,"4/18/2024 3 a.m. EDT",376783.2,366555.1,377632.2,2685
US48,"4/18/2024 4 a.m. EDT",367888.49,362506.1,368208.49,2343
US48,"4/18/2024 5 a.m. EDT",366138.21,363156.1,365818.21,2293
US48,"4/18/2024 6 a.m. EDT",372757.44,375419.8,373222.44,2604
US48,"4/18/2024 7 a.m. EDT",391228.81,393146.6,391531.81,2281
US48,"4/18/2024 8 a.m. EDT",412152.33,411540.9,411098.33,1195
US48,"4/18/2024 9 a.m. EDT",425490.62,424327.2,425884.62,3090
US48,"4/18/2024 10 a.m. EDT",435383.67,435626.3,434459.67,2136
US48,"4/18/2024 11 a.m. EDT",445062.42,443865.4,444086.42,2260
US48,"4/18/2024 12 p.m. EDT",453581.42,451087.2,451854.42,2021
US48,"4/18/2024 1 p.m. EDT",460589.22,457701,460712.22,2435
US48,"4/18/2024 2 p.m. EDT",468780.27,464150.2,468950.27,2121
US48,"4/18/2024 3 p.m. EDT",475731.73,471412.9,476042.73,2364
US48,"4/18/2024 4 p.m. EDT",483097.48,477663.4,482993.48,2080
US48,"4/18/2024 5 p.m. EDT",490945.69,483591.8,491434.69,2213
US48,"4/18/2024 6 p.m. EDT",496710.52,487191.4,497158.52,2111
US48,"4/18/2024 7 p.m. EDT",495979.93,486885,495837.93,2133
US48,"4/18/2024 8 p.m. EDT",489933.16,483529.4,490408.16,1829
US48,"4/18/2024 9 p.m. EDT",485128.26,478537.1,486368.26,1290
US48,"4/18/2024 10 p.m. EDT",475444.28,467883.6,478553.28,2103
US48,"4/18/2024 11 p.m. EDT",455523,449022.3,456297,2367
US48,"4/19/2024 12 a.m. EDT",432281.56,425375.8,432783.56,3093
US48,"4/19/2024 1 a.m. EDT",409498.77,402418.4,409830.77,3499
US48,"4/19/2024 2 a.m. EDT",390437.45,383846.2,391637.45,3094
US48,"4/19/2024 3 a.m. EDT",375608.44,370606.3,375641.44,2815
US48,"4/19/2024 4 a.m. EDT",367260.93,363392.5,366726.93,2348
US48,"4/19/2024 5 a.m. EDT",364540.67,364463.3,364131.67,2312
US48,"4/19/2024 6 a.m. EDT",369746.61,376336.4,369590.61,2514
US48,"4/19/2024 7 a.m. EDT",387942.08,393493.9,387478.08,2484
US48,"4/19/2024 8 a.m. EDT",406898.35,409561,405880.35,2179
US48,"4/19/2024 9 a.m. EDT",418612.07,421545.6,418237.07,3168
US48,"4/19/2024 10 a.m. EDT",427117.52,430400.3,426585.52,3555
US48,"4/19/2024 11 a.m. EDT",434304.5,435852.1,434099.5,3503
US48,"4/19/2024 12 p.m. EDT",440971.17,438506.9,440021.17,3267
US48,"4/19/2024 1 p.m. EDT",445148.65,440141.3,445029.65,3312
US48,"4/19/2024 2 p.m. EDT",449622.24,442509.1,450956.24,3648
US48,"4/19/2024 3 p.m. EDT",452902.01,445717,454235.01,3442
US48,"4/19/2024 4 p.m. EDT",445479.47,449318.8,446390.47,3411
US48,"4/19/2024 5 p.m. EDT",458833.98,453823.9,460266.98,3507
US48,"4/19/2024 6 p.m. EDT",462122.94,457040,463377.94,3240
US48,"4/19/2024 7 p.m. EDT",461010.48,457249.4,462021.48,2946
US48,"4/19/2024 8 p.m. EDT",457348.76,455339.9,458475.76,2388
US48,"4/19/2024 9 p.m. EDT",455483.02,452688.7,457996.02,1824
US48,"4/19/2024 10 p.m. EDT",449626.92,445442.5,454139.92,2492
US48,"4/19/2024 11 p.m. EDT",435375.18,430991.2,436227.18,1853
US48,"4/20/2024 12 a.m. EDT",417282.76,411809.7,416585.76,2040
US48,"4/20/2024 1 a.m. EDT",397291.2,393796,396123.2,1423
US48,"4/20/2024 2 a.m. EDT",380904.51,377549.7,381574.51,1423
US48,"4/20/2024 3 a.m. EDT",369599.94,363622.9,369921.94,1693
US48,"4/20/2024 4 a.m. EDT",360864.67,357439.2,359844.67,1522
US48,"4/20/2024 5 a.m. EDT",356313.59,354153.8,355117.59,1151
US48,"4/20/2024 6 a.m. EDT",355915.24,355703.8,355289.24,1176
US48,"4/20/2024 7 a.m. EDT",360553.14,361923.2,359293.14,793
US48,"4/20/2024 8 a.m. EDT",369382.16,371321.9,367906.16,783
US48,"4/20/2024 9 a.m. EDT",382452.6,383109.3,380554.6,352
US48,"4/20/2024 10 a.m. EDT",394996.44,394568.7,391993.44,521
US48,"4/20/2024 11 a.m. EDT",405542.4,402675.9,401063.4,342
US48,"4/20/2024 12 p.m. EDT",413702.16,407172.7,410401.16,584
US48,"4/20/2024 1 p.m. EDT",419022.06,408667.7,417069.06,288
US48,"4/20/2024 2 p.m. EDT",422464.31,408825.9,421124.31,322
US48,"4/20/2024 3 p.m. EDT",423236,409917.7,421891,251
US48,"4/20/2024 4 p.m. EDT",424420.26,412241.2,423430.26,981
US48,"4/20/2024 5 p.m. EDT",426496.71,416293.6,425994.71,1097
US48,"4/20/2024 6 p.m. EDT",429602.69,421126.1,429309.69,-4303
US48,"4/20/2024 7 p.m. EDT",430200.53,424823.9,429847.53,-4564
US48,"4/20/2024 8 p.m. EDT",428435.3,427137.1,429245.3,-3930
US48,"4/20/2024 9 p.m. EDT",430059.42,428292.6,432076.42,1787
US48,"4/20/2024 10 p.m. EDT",425894.3,425211.3,430238.3,3212
US48,"4/20/2024 11 p.m. EDT",414405.04,413635.3,416060.04,3552
US48,"4/21/2024 12 a.m. EDT",399101.93,398417.3,399041.93,3518
US48,"4/21/2024 1 a.m. EDT",382657.22,381243.5,382770.22,3854
US48,"4/21/2024 2 a.m. EDT",369239.76,365928.5,370909.76,3836
US48,"4/21/2024 3 a.m. EDT",359350.23,351720.8,359641.23,3912
US48,"4/21/2024 4 a.m. EDT",352503.68,348424.8,351925.68,3853
US48,"4/21/2024 5 a.m. EDT",348716.84,346370.9,347646.84,3079
US48,"4/21/2024 6 a.m. EDT",347160.96,348421.5,346388.96,3037
US48,"4/21/2024 7 a.m. EDT",351680.03,353647.3,351351.03,3317
US48,"4/21/2024 8 a.m. EDT",358259.44,361362,357236.44,2708
US48,"4/21/2024 9 a.m. EDT",368940.43,370858.2,366948.43,2440
US48,"4/21/2024 10 a.m. EDT",380486.57,379607.5,377495.57,2177
US48,"4/21/2024 11 a.m. EDT",388387.41,385569.4,383014.41,1603
US48,"4/21/2024 12 p.m. EDT",393065.78,386857.4,388985.78,1402
US48,"4/21/2024 1 p.m. EDT",395762.23,387784.7,393665.23,1454
US48,"4/21/2024 2 p.m. EDT",397773.16,387678.6,395856.16,1308
US48,"4/21/2024 3 p.m. EDT",400733.99,388344,397210.99,442
US48,"4/21/2024 4 p.m. EDT",398565.79,391288,397395.79,1485
US48,"4/21/2024 5 p.m. EDT",402534.66,396969,401235.66,1256
US48,"4/21/2024 6 p.m. EDT",408489.58,404874,407692.58,1374
US48,"4/21/2024 7 p.m. EDT",413311.99,413222.5,412751.99,1122
US48,"4/21/2024 8 p.m. EDT",420669.6,421288.6,420132.6,500
US48,"4/21/2024 9 p.m. EDT",429411.3,427225.1,430058.3,41
US48,"4/21/2024 10 p.m. EDT",430375.96,425433,431204.96,924
US48,"4/21/2024 11 p.m. EDT",419766.58,413968.2,419060.58,1780
US48,"4/22/2024 12 a.m. EDT",402961.36,398179.9,402711.36,2431
US48,"4/22/2024 1 a.m. EDT",387412.3,383369.1,386855.3,2195
US48,"4/22/2024 2 a.m. EDT",374777.31,371587.4,375032.31,1651
US48,"4/22/2024 3 a.m. EDT",366560.22,362326.7,366058.22,1191
US48,"4/22/2024 4 a.m. EDT",362201.85,360842,360976.85,1124
US48,"4/22/2024 5 a.m. EDT",364815.44,367184.4,363599.44,977
US48,"4/22/2024 6 a.m. EDT",376088.49,383517.8,375353.49,1206
US48,"4/22/2024 7 a.m. EDT",401255.18,405543.2,400823.18,1625
US48,"4/22/2024 8 a.m. EDT",422524.26,422730.8,422206.26,1360
US48,"4/22/2024 9 a.m. EDT",426948.79,429256.5,427273.79,1982
US48,"4/22/2024 10 a.m. EDT",425204.62,429391.6,423273.62,1352
US48,"4/22/2024 11 a.m. EDT",422938.44,426645.8,420237.44,834
US48,"4/22/2024 12 p.m. EDT",421627.19,421966.2,419242.19,623
US48,"4/22/2024 1 p.m. EDT",420268.19,417170.1,419226.19,785
US48,"4/22/2024 2 p.m. EDT",418560.88,414007.9,418237.88,1044
US48,"4/22/2024 3 p.m. EDT",419335.98,412685,418427.98,1222
US48,"4/22/2024 4 p.m. EDT",420146.68,414287.5,419160.68,775
US48,"4/22/2024 5 p.m. EDT",423005.4,420104.7,422987.4,731
US48,"4/22/2024 6 p.m. EDT",430316.34,428919,430199.34,734
US48,"4/22/2024 7 p.m. EDT",436202.34,436951.9,434785.34,-251
US48,"4/22/2024 8 p.m. EDT",440999.19,443291.1,440300.19,17
US48,"4/22/2024 9 p.m. EDT",446780.9,445851.4,446286.9,256
US48,"4/22/2024 10 p.m. EDT",443706.27,440395.8,444803.27,1042
US48,"4/22/2024 11 p.m. EDT",428013.77,426041.7,427630.77,826
US48,"4/23/2024 12 a.m. EDT",407746.46,407244.8,407324.46,915
US48,"4/23/2024 1 a.m. EDT",389757.9,388739,389717.9,1419
US48,"4/23/2024 2 a.m. EDT",377208.49,372613.1,378030.49,1633
US48,"4/23/2024 3 a.m. EDT",367729.89,359669.9,367062.89,976
US48,"4/23/2024 4 a.m. EDT",363178.99,361173.1,362413.99,837
US48,"4/23/2024 5 a.m. EDT",364710.8,365968.2,363956.8,768
US48,"4/23/2024 6 a.m. EDT",375607.72,380506.4,374886.72,1054
US48,"4/23/2024 7 a.m. EDT",397246.07,398453.1,396350.07,454
US48,"4/23/2024 8 a.m. EDT",415673.12,413858.9,413979.12,116
US48,"4/23/2024 9 a.m. EDT",417849.52,419485.9,416436.52,542
US48,"4/23/2024 10 a.m. EDT",415730.39,419843,413162.39,-212
US48,"4/23/2024 11 a.m. EDT",416474.24,418246.1,413178.24,-159
US48,"4/23/2024 12 p.m. EDT",417370.72,415394,413883.72,216
US48,"4/23/2024 1 p.m. EDT",416833.67,412898.7,416072.67,1087
US48,"4/23/2024 2 p.m. EDT",419145.6,412431.8,418886.6,-46
US48,"4/23/2024 3 p.m. EDT",421082.17,413729.1,421168.17,1009
US48,"4/23/2024 4 p.m. EDT",424888.58,417538.9,423724.58,609
US48,"4/23/2024 5 p.m. EDT",430667.2,424118.9,430606.2,246
US48,"4/23/2024 6 p.m. EDT",436480.68,431913.2,435743.68,97
US48,"4/23/2024 7 p.m. EDT",441268.03,436985.3,440862.03,430
US48,"4/23/2024 8 p.m. EDT",444804.43,441192.2,444335.43,-324
US48,"4/23/2024 9 p.m. EDT",448526.62,442726.4,447842.62,-273
US48,"4/23/2024 10 p.m. EDT",443568.09,436636.4,445133.09,420
US48,"4/23/2024 11 p.m. EDT",426108.55,421563.4,426229.55,505
US48,"4/24/2024 12 a.m. EDT",405403.14,402107.3,405577.14,1013
US48,"4/24/2024 1 a.m. EDT",387968.04,382230.8,386076.04,-128
US48,"4/24/2024 2 a.m. EDT",373395.5,365858.6,373669.5,961
US48,"4/24/2024 3 a.m. EDT",361712.76,351597.4,361565.76,1816
US48,"4/24/2024 4 a.m. EDT",356017.61,350254.7,356741.61,7168
US48,"4/24/2024 5 a.m. EDT",355532.79,353622.9,355723.79,7306
US48,"4/24/2024 6 a.m. EDT",362807.52,366305.4,363441.52,7882
US48,"4/24/2024 7 a.m. EDT",382394.18,385143,381901.18,7090
US48,"4/24/2024 8 a.m. EDT",401568.84,402816.5,400844.84,6758
US48,"4/24/2024 9 a.m. EDT",410342.95,413431.9,409761.95,7687
US48,"4/24/2024 10 a.m. EDT",415800.15,418777.6,413560.15,6540
US48,"4/24/2024 11 a.m. EDT",421325.72,420460.1,418620.72,5552
US48,"4/24/2024 12 p.m. EDT",424631.54,420370.3,422276.54,4251
US48,"4/24/2024 1 p.m. EDT",428134.63,421423.9,426675.63,3358
US48,"4/24/2024 2 p.m. EDT",432409.74,423004.9,429926.74,1803
US48,"4/24/2024 3 p.m. EDT",436646.21,425723.8,434644.21,1193
US48,"4/24/2024 4 p.m. EDT",443082.26,429360.8,441195.26,549
US48,"4/24/2024 5 p.m. EDT",449527.89,435542.6,448629.89,527
US48,"4/24/2024 6 p.m. EDT",454931.02,442597.5,454152.02,509
US48,"4/24/2024 7 p.m. EDT",459406.04,447103.9,459372.04,507
US48,"4/24/2024 8 p.m. EDT",460561.46,450055.2,460838.46,1271
US48,"4/24/2024 9 p.m. EDT",460167.94,449648.7,459798.94,2222
US48,"4/24/2024 10 p.m. EDT",453931.66,442086.5,456278.66,5759
US48,"4/24/2024 11 p.m. EDT",437435.5,426251.4,438175.5,6929
US48,"4/25/2024 12 a.m. EDT",416674.38,406633.5,417573.38,8114
US48,"4/25/2024 1 a.m. EDT",395234.83,385846.4,,
US48,"4/25/2024 2 a.m. EDT",379571.84,370321.1,,
US48,"4/25/2024 3 a.m. EDT",367493.9,357016.3,,
US48,"4/25/2024 4 a.m. EDT",361132,355404.1,,
US48,"4/25/2024 5 a.m. EDT",360571,358787.5,,
US48,"4/25/2024 6 a.m. EDT",370313,372013.6,,
US48,"4/25/2024 7 a.m. EDT",392380,388684.6,,
US48,"4/25/2024 8 a.m. EDT",410855,403540.3,,
US48,"4/25/2024 9 a.m. EDT",417283,409757,,
US48,"4/25/2024 10 a.m. EDT",420763,413040.7,,
US48,"4/25/2024 11 a.m. EDT",425455,414740,,
US48,"4/25/2024 12 p.m. EDT",429416,415969.9,,
US48,"4/25/2024 1 p.m. EDT",426460,417633.2,,
US48,"4/25/2024 2 p.m. EDT",,419850.8,,
US48,"4/25/2024 3 p.m. EDT",,422822.8,,
US48,"4/25/2024 4 p.m. EDT",,427796.2,,
US48,"4/25/2024 5 p.m. EDT",,434892.3,,
US48,"4/25/2024 6 p.m. EDT",,442322.7,,
US48,"4/25/2024 7 p.m. EDT",,447334.4,,
US48,"4/25/2024 8 p.m. EDT",,450242.3,,
US48,"4/25/2024 9 p.m. EDT",,449311.7,,
US48,"4/25/2024 10 p.m. EDT",,441753.4,,
US48,"4/25/2024 11 p.m. EDT",,426796.9,,
US48,"4/26/2024 12 a.m. EDT",,407701.8,,
